strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,472.0,1208.675847457627,193.7478813559322,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2544856368301986
delta,775.0,1371.8387096774193,192.3625806451613,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.4522875612773851
delta,419.0,812.5011933174225,190.37470167064438,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7742041074428996
delta,486.0,948.3312757201646,193.73251028806584,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9388705721736416
delta,557.0,1477.9084380610414,193.68402154398564,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.5808756242374977
delta,744.0,1943.1787634408602,192.6733870967742,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,2.144921660794051
delta,821.0,1282.16077953715,187.00365408038977,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.34357123379417
delta,729.0,1614.1179698216736,190.6872427983539,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.7460020944633614
delta,432.0,1068.6828703703704,193.21296296296296,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0847725054213575
delta,527.0,858.0721062618596,178.573055028463,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8294496097379154
delta,463.0,1134.9524838012958,186.99568034557237,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1651109898698
delta,400.0,949.115,194.545,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9398206791322862
delta,566.0,902.969964664311,191.92049469964664,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8838791697170664
delta,492.0,1064.5548780487804,189.5630081300813,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0797681507893961
delta,456.0,1083.7236842105262,181.79166666666666,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.103006445929382
delta,327.0,1091.3853211009175,184.41590214067278,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.112294628918557
delta,324.0,1084.8858024691358,191.4320987654321,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1044152789497206
delta,303.0,853.6336633663366,191.6204620462046,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.824068896661794
delta,519.0,934.4373795761079,184.9980732177264,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9220270370825392
delta,592.0,1192.9662162162163,188.2466216216216,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2354408906812815
delta,382.0,1018.348167539267,188.4371727748691,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0237518727172215
