parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
fc_sigma,3,0.10413962340336046,0.11261636180597666,0.10269612753031651,0.06094429163913308,0.14654798495210122,0.95,0.3,glucose,37
fc_sigma,4,0.15062411810702225,0.14479760892956528,0.14341540275800466,0.10748021552624074,0.2180196518644003,0.95,0.39999999999999997,glucose,37
fc_sigma,5,0.03425746433746947,0.027944712960621204,0.032541070395444516,0.020382923438622403,0.05025138872125086,0.95,0.7000000000000001,glucose,37
fc_sigma,6,0.09110719205133207,0.07448985874057397,0.09050975365612132,0.07024086725912387,0.11671483702536761,0.95,1.0,glucose,37
fc_sigma,7,0.03238822298771279,0.02685921234450118,0.02992906419799505,0.020789140061092483,0.04911468165294877,0.95,2.0,glucose,37
fc_sigma,8,0.020932094755353188,0.01577156113551167,0.021145235933426917,0.009594407386666656,0.03775717528687147,0.95,3.0,glucose,37
fc_sigma,9,0.010218568416986738,0.006798968192134154,0.009433071674330516,0.004406785687801254,0.019405770562955945,0.95,4.0,glucose,37
fc_sigma,10,0.013867103045977464,0.011931060132269442,0.012810301431292673,0.00841625035201366,0.021621227792069573,0.95,7.0,glucose,37
fc_sigma,11,0.01716912593810782,0.012076090518021372,0.016839353058197608,0.008392147794488726,0.02563046839565228,0.95,10.0,glucose,37
rep_mu,1,0.016730058672801914,0.004034329412628379,1.4536713027757386e-07,2.220446049250313e-16,0.05103936353827221,0.95,0.09999999999999999,glucose,37
rep_mu,2,0.08075761077407195,0.040778153852769394,1.4718742747554803e-05,2.220446049250313e-16,0.6486127018053263,0.95,0.19999999999999998,glucose,37
rep_mu,3,0.02199264496781849,0.005679635408989969,7.257627832046865e-11,2.220446049250313e-16,0.09715249069631293,0.95,0.3,glucose,37
rep_mu,4,0.010003686839960764,2.0650148258027912e-14,3.774758283725532e-14,2.220446049250313e-16,0.0024900012433723973,0.95,0.39999999999999997,glucose,37
