strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,419.0,885.2100238663485,191.29116945107398,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7776736689590897
delta,495.0,802.6888888888889,195.0,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.6878198579240786
delta,608.0,1650.1940789473683,198.29440789473685,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.6106327981424384
delta,458.0,191.17248908296943,373.06113537117903,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.021965237189888676
delta,505.0,948.9702970297029,194.95247524752475,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8470995625550226
delta,538.0,1205.3029739776953,197.60594795539035,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1262094890347618
delta,496.0,1119.5020161290322,192.31451612903226,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0327844161093527
delta,828.0,1332.2028985507247,198.81280193236714,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.264385507167046
delta,392.0,1181.5051020408164,200.85204081632654,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1002969820311224
delta,532.0,1256.360902255639,201.88533834586465,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1818043307753492
delta,575.0,1175.7008695652173,204.0782608695652,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0939769961486183
delta,755.0,1277.9443708609272,206.83841059602648,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2053056666460855
delta,543.0,995.8839779005525,197.41804788213628,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.898181906697254
delta,690.0,1014.1028985507246,192.33188405797102,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9180197270787789
delta,674.0,1026.005934718101,203.33679525222553,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9309804451156608
delta,844.0,1212.8708530805686,207.0722748815166,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1344498359353605
delta,863.0,927.494785631518,192.33951332560835,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.823715776769965
delta,356.0,913.314606741573,197.32865168539325,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.80827557330248
delta,477.0,1208.9664570230607,200.9937106918239,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1301985024357306
delta,381.0,1134.5328083989502,203.44094488188978,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0491508168950012
delta,854.0,891.7903981264637,195.46487119437938,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7848387631554982
delta,392.0,1045.844387755102,203.0765306122449,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9525817065488746
delta,441.0,1008.2222222222222,192.8049886621315,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9116165046834053
delta,429.0,922.6759906759906,193.17948717948718,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8184687925704787
delta,473.0,1439.8879492600422,202.3276955602537,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3816392531361668
delta,525.0,1048.624761904762,205.48,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9556091396242731
delta,595.0,1053.5882352941176,214.27226890756302,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.961013658116733
delta,530.0,950.7264150943396,188.69622641509434,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8490117260362705
delta,369.0,1503.1924119241191,213.36043360433604,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.4505688337514187
delta,434.0,1417.3225806451612,199.2626728110599,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3570687674295572
delta,545.0,1020.7688073394495,211.0605504587156,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9252779562444624
delta,483.0,1112.7018633540372,208.23809523809524,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0253800142840443
delta,471.0,199.57324840764332,392.28025477707007,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.031112472514706196
delta,833.0,1177.1692677070828,206.8967587034814,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.095575873444712
delta,593.0,1411.4485666104554,201.79258010118045,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3506727993271355
delta,374.0,998.8181818181819,190.29144385026737,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9013768385704629
delta,745.0,1143.502013422819,187.76644295302015,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0589170089568178
delta,669.0,884.7982062780269,192.85201793721973,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.777225258018401
delta,474.0,1113.9472573839662,199.79746835443038,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0267360717335685
delta,440.0,967.3681818181818,189.10454545454544,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8671322494985484
delta,652.0,852.3113496932515,186.34662576687117,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7418516791953849
delta,584.0,1320.7859589041095,182.78938356164383,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2519540792924138
delta,453.0,1085.682119205298,195.16997792494482,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.995959345438199
delta,661.0,1062.5113464447807,187.54009077155825,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9707296604886718
delta,436.0,1987.6674311926606,196.0321100917431,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.9780934108725332
delta,486.0,1593.5925925925926,188.39506172839506,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.5490018079650498
delta,570.0,1035.0859649122808,186.7280701754386,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9408673100682925
delta,421.0,1349.688836104513,189.41092636579572,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2834252129243318
delta,878.0,981.5318906605922,196.17995444191345,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8825545194204112
delta,451.0,1004.6430155210643,191.10864745011085,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.907719256267361
delta,412.0,1428.121359223301,193.95873786407768,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3688271055817667
delta,566.0,1147.3975265017668,193.36219081272085,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0631586701527747
