I_1,I_2,area_1,area_2,bg_val,fractional_birth_area,date,run_no,temp,carbon,operator
101.50175438596492,101.5674740484429,285.0,289.0,101.506713210294,0.4969818913480885,20181026,1,37,acetate,O2
101.59426229508196,101.5909090909091,244.0,242.0,101.506713210294,0.4880174291938998,20181026,1,37,acetate,O2
101.5107398568019,101.52731591448931,419.0,421.0,101.5187364170561,0.48846675712347354,20181026,1,37,acetate,O2
101.51902173913044,101.6029411764706,368.0,340.0,101.5187364170561,0.5091743119266054,20181026,1,37,acetate,O2
101.52043596730245,101.62107623318386,367.0,446.0,101.5187364170561,0.46781789638932497,20181026,1,37,acetate,O2
101.61,101.52903225806452,500.0,310.0,101.5187364170561,0.5008210180623974,20181026,1,37,acetate,O2
101.61124694376528,101.56410256410257,409.0,312.0,101.5187364170561,0.6003552397868561,20181026,1,37,acetate,O2
101.5,101.64761904761905,342.0,315.0,101.5187364170561,0.4949698189134809,20181026,1,37,acetate,O2
101.6997971602434,101.67219917012449,493.0,482.0,101.5187364170561,0.5209380234505863,20181026,1,37,acetate,O2
101.52333333333333,101.59655172413792,300.0,290.0,101.5187364170561,0.44711538461538464,20181026,1,37,acetate,O2
101.52989130434783,101.5017667844523,368.0,283.0,101.5187364170561,0.5528301886792453,20181026,1,37,acetate,O2
101.5679347826087,101.60326086956522,368.0,368.0,101.5187364170561,0.5009009009009009,20181026,1,37,acetate,O2
101.56919060052219,101.53943217665615,383.0,317.0,101.5187364170561,0.5244299674267101,20181026,1,37,acetate,O2
101.5512048192771,101.5909090909091,332.0,374.0,101.5187364170561,0.47332185886402756,20181026,1,37,acetate,O2
101.72389791183295,101.58968058968058,431.0,407.0,101.5187364170561,0.5396551724137931,20181026,1,37,acetate,O2
101.53159041394335,101.61395348837209,459.0,430.0,101.5187364170561,0.5623052959501558,20181026,1,37,acetate,O2
101.66141732283465,101.53543307086615,254.0,254.0,101.5187364170561,0.5152173913043478,20181026,1,37,acetate,O2
101.53472222222223,101.67415730337079,288.0,267.0,101.5187364170561,0.50418410041841,20181026,1,37,acetate,O2
