time_min,temp_C,well_id,od_600nm,strain,carbon,date,run_number
111.16666666666667,32.0,3,0.079,blank,blank,20190315,1
118.16666666666667,32.0,3,0.079,blank,blank,20190315,1
125.16666666666667,32.1,3,0.079,blank,blank,20190315,1
132.16666666666666,32.0,3,0.079,blank,blank,20190315,1
139.16666666666666,32.1,3,0.079,blank,blank,20190315,1
146.16666666666666,32.1,3,0.079,blank,blank,20190315,1
153.16666666666666,32.1,3,0.079,blank,blank,20190315,1
160.16666666666666,32.1,3,0.079,blank,blank,20190315,1
167.16666666666666,32.1,3,0.079,blank,blank,20190315,1
174.16666666666666,32.1,3,0.079,blank,blank,20190315,1
181.16666666666666,32.0,3,0.08,blank,blank,20190315,1
188.16666666666666,32.0,3,0.079,blank,blank,20190315,1
195.16666666666666,32.1,3,0.079,blank,blank,20190315,1
202.16666666666666,32.1,3,0.079,blank,blank,20190315,1
209.16666666666666,32.0,3,0.08,blank,blank,20190315,1
216.16666666666666,32.1,3,0.079,blank,blank,20190315,1
223.16666666666666,32.0,3,0.08,blank,blank,20190315,1
230.16666666666666,32.0,3,0.08,blank,blank,20190315,1
237.16666666666666,32.1,3,0.08,blank,blank,20190315,1
244.16666666666666,32.1,3,0.079,blank,blank,20190315,1
251.16666666666666,32.0,3,0.079,blank,blank,20190315,1
258.1666666666667,32.0,3,0.079,blank,blank,20190315,1
265.1666666666667,32.0,3,0.079,blank,blank,20190315,1
272.1666666666667,32.0,3,0.079,blank,blank,20190315,1
279.1666666666667,32.1,3,0.08,blank,blank,20190315,1
286.1666666666667,32.0,3,0.079,blank,blank,20190315,1
293.1666666666667,32.1,3,0.079,blank,blank,20190315,1
300.1666666666667,32.1,3,0.079,blank,blank,20190315,1
307.1666666666667,32.1,3,0.079,blank,blank,20190315,1
314.1666666666667,32.1,3,0.079,blank,blank,20190315,1
321.1666666666667,32.0,3,0.08,blank,blank,20190315,1
328.1666666666667,32.1,3,0.079,blank,blank,20190315,1
335.1666666666667,32.0,3,0.079,blank,blank,20190315,1
342.1666666666667,32.1,3,0.079,blank,blank,20190315,1
349.1666666666667,32.0,3,0.08,blank,blank,20190315,1
356.1666666666667,32.0,3,0.08,blank,blank,20190315,1
363.1666666666667,32.1,3,0.08,blank,blank,20190315,1
370.1666666666667,32.1,3,0.08,blank,blank,20190315,1
377.1666666666667,32.0,3,0.079,blank,blank,20190315,1
384.1666666666667,32.1,3,0.079,blank,blank,20190315,1
391.1666666666667,32.0,3,0.079,blank,blank,20190315,1
398.1666666666667,32.1,3,0.079,blank,blank,20190315,1
405.1666666666667,32.1,3,0.079,blank,blank,20190315,1
412.1666666666667,32.0,3,0.079,blank,blank,20190315,1
419.1666666666667,32.0,3,0.079,blank,blank,20190315,1
426.1666666666667,32.0,3,0.08,blank,blank,20190315,1
433.1666666666667,32.1,3,0.08,blank,blank,20190315,1
440.1666666666667,32.0,3,0.079,blank,blank,20190315,1
447.1666666666667,32.1,3,0.08,blank,blank,20190315,1
454.1666666666667,32.0,3,0.08,blank,blank,20190315,1
461.1666666666667,32.0,3,0.08,blank,blank,20190315,1
468.1666666666667,32.0,3,0.079,blank,blank,20190315,1
475.1666666666667,32.0,3,0.08,blank,blank,20190315,1
482.1666666666667,32.0,3,0.079,blank,blank,20190315,1
489.1666666666667,32.0,3,0.08,blank,blank,20190315,1
