date,carbon,temp_C,operator,colony_idx,area,time_min
20181024,glucose,37,O2,6,3737,335
20181024,glucose,37,O2,6,3846,340
20181024,glucose,37,O2,6,3851,345
20181024,glucose,37,O2,6,4220,350
20181024,glucose,37,O2,6,4510,355
20181024,glucose,37,O2,6,4751,360
20181024,glucose,37,O2,7,514,5
20181024,glucose,37,O2,7,507,10
20181024,glucose,37,O2,7,509,15
20181024,glucose,37,O2,7,504,20
20181024,glucose,37,O2,7,494,25
20181024,glucose,37,O2,7,500,30
20181024,glucose,37,O2,7,500,35
20181024,glucose,37,O2,7,505,40
20181024,glucose,37,O2,7,495,45
20181024,glucose,37,O2,7,508,50
20181024,glucose,37,O2,7,510,55
20181024,glucose,37,O2,7,510,60
20181024,glucose,37,O2,7,510,65
20181024,glucose,37,O2,7,491,70
20181024,glucose,37,O2,7,493,75
20181024,glucose,37,O2,7,489,80
20181024,glucose,37,O2,7,472,85
20181024,glucose,37,O2,7,454,90
20181024,glucose,37,O2,7,470,95
20181024,glucose,37,O2,7,457,100
20181024,glucose,37,O2,7,461,105
20181024,glucose,37,O2,7,472,110
20181024,glucose,37,O2,7,483,115
20181024,glucose,37,O2,7,502,120
20181024,glucose,37,O2,7,505,125
20181024,glucose,37,O2,7,507,130
20181024,glucose,37,O2,7,510,135
20181024,glucose,37,O2,7,527,140
20181024,glucose,37,O2,7,540,145
20181024,glucose,37,O2,7,549,150
20181024,glucose,37,O2,7,567,155
20181024,glucose,37,O2,7,560,160
20181024,glucose,37,O2,7,565,165
20181024,glucose,37,O2,7,547,170
20181024,glucose,37,O2,7,540,175
20181024,glucose,37,O2,7,528,180
20181024,glucose,37,O2,7,519,185
20181024,glucose,37,O2,7,517,190
20181024,glucose,37,O2,7,512,195
20181024,glucose,37,O2,7,530,200
20181024,glucose,37,O2,7,509,205
20181024,glucose,37,O2,7,526,210
20181024,glucose,37,O2,7,519,215
20181024,glucose,37,O2,7,518,220
20181024,glucose,37,O2,7,513,225
20181024,glucose,37,O2,7,506,230
20181024,glucose,37,O2,7,479,235
20181024,glucose,37,O2,7,441,240
20181024,glucose,37,O2,7,430,245
20181024,glucose,37,O2,7,402,250
20181024,glucose,37,O2,7,385,255
20181024,glucose,37,O2,7,361,260
20181024,glucose,37,O2,7,359,265
20181024,glucose,37,O2,7,200,270
20181024,glucose,37,O2,7,0,275
20181024,glucose,37,O2,7,0,280
20181024,glucose,37,O2,7,0,285
20181024,glucose,37,O2,7,223,290
20181024,glucose,37,O2,7,452,295
20181024,glucose,37,O2,7,535,300
20181024,glucose,37,O2,7,594,305
20181024,glucose,37,O2,7,609,310
20181024,glucose,37,O2,7,642,315
20181024,glucose,37,O2,7,636,320
20181024,glucose,37,O2,7,620,325
20181024,glucose,37,O2,7,615,330
20181024,glucose,37,O2,7,562,335
20181024,glucose,37,O2,7,579,340
20181024,glucose,37,O2,7,578,345
20181024,glucose,37,O2,7,786,350
